"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","0","","TestsWithIdForFilter","","io.qameta.allure.example.spock2.TestsWithIdForFilter","test 3","test 3",""
"broken","Mon Sep 11 11:20:43 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","129","","BrokenTest","","io.qameta.allure.example.spock2.BrokenTest","brokenTest","brokenTest",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","1","","TestWithSteps","","io.qameta.allure.example.spock2.TestWithSteps","testWithSteps","testWithSteps",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","0","","TestsWithIdForFilter","","io.qameta.allure.example.spock2.TestsWithIdForFilter","test 4","test 4",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","0","","TestWithAnnotations","","io.qameta.allure.example.spock2.TestWithAnnotations","someTest","someTest",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","1","","FixturesTest","","io.qameta.allure.example.spock2.FixturesTest","First Test","First Test",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","12","","BaseSpec","DerivedSpec","io.qameta.allure.example.spock2.BaseSpec","baseSpecMethod","baseSpecMethod",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","0","","TestsWithIdForFilter","","io.qameta.allure.example.spock2.TestsWithIdForFilter","test 1","test 1",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","0","","TestWithAnnotationsOnClass","","io.qameta.allure.example.spock2.TestWithAnnotationsOnClass","someTest","someTest",""
"failed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","3","","TestsWithIdForFilter","","io.qameta.allure.example.spock2.TestsWithIdForFilter","test 6","test 6",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","0","","HelloSpockSpec","","io.qameta.allure.example.spock2.HelloSpockSpec","length of Spock's and his friends' names [name: Scotty, length: 6, #2]","length of Spock's and his friends' names [name: Scotty, length: 6, #2]",""
"failed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","415","","FailedTest","","io.qameta.allure.example.spock2.FailedTest","failedTest","failedTest",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","4","","HelloSpockSpec","","io.qameta.allure.example.spock2.HelloSpockSpec","length of Spock's and his friends' names [name: Spock, length: 5, #0]","length of Spock's and his friends' names [name: Spock, length: 5, #0]",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","0","","SpecFixtures","","io.qameta.allure.example.spock2.SpecFixtures","test with spec fixtures","test with spec fixtures",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","0","","ParametersTest","","io.qameta.allure.example.spock2.ParametersTest","Simple Test [a: 1, b: 3, c: 3, #0]","Simple Test [a: 1, b: 3, c: 3, #0]",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","1","","DataDrivenTest","","io.qameta.allure.example.spock2.DataDrivenTest","Simple Test [a: 0, b: 0, c: 0, #2]","Simple Test [a: 0, b: 0, c: 0, #2]",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","0","","TestWithCustomAnnotations","","io.qameta.allure.example.spock2.TestWithCustomAnnotations","someTest","someTest",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","5","","FixturesTest","","io.qameta.allure.example.spock2.FixturesTest","Second Test","Second Test",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","12","","StepsAndBlocks","","io.qameta.allure.example.spock2.StepsAndBlocks","test with steps and blocks","test with steps and blocks",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","5","BaseSpec","DerivedSpec","","io.qameta.allure.example.spock2.DerivedSpec","derivedSpecMethod","derivedSpecMethod",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","0","","DataDrivenTest","","io.qameta.allure.example.spock2.DataDrivenTest","Simple Test [a: 7, b: 4, c: 7, #1]","Simple Test [a: 7, b: 4, c: 7, #1]",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","1","","OneTest","","io.qameta.allure.example.spock2.OneTest","Simple Test","Simple Test",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","0","","TestsWithIdForFilter","","io.qameta.allure.example.spock2.TestsWithIdForFilter","test 2","test 2",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","21","","DataDrivenTest","","io.qameta.allure.example.spock2.DataDrivenTest","Simple Test [a: 1, b: 3, c: 3, #0]","Simple Test [a: 1, b: 3, c: 3, #0]",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","10","","StreamsListener","","io.qameta.allure.example.spock2.StreamsListener","Streams Test","Streams Test",""
"passed","Mon Sep 11 11:20:44 GMT 2023","Mon Sep 11 11:20:44 GMT 2023","0","","HelloSpockSpec","","io.qameta.allure.example.spock2.HelloSpockSpec","length of Spock's and his friends' names [name: Kirk, length: 4, #1]","length of Spock's and his friends' names [name: Kirk, length: 4, #1]",""
